Module,"Field Name","Field Type",Label,"Label Source",Required,"Read Only",Custom,"Linked Entity","DB Table","DB Column(s)","DB Column Type(s)","Options / Definition Details"
Account,property_city,varchar,"Property City",auto,,,yes,,account,property_city,varchar(50),maxLength=50
Account,property_state,varchar,"Property State",auto,,,yes,,account,property_state,varchar(5),"maxLength=5; default=GA"
Account,property_zip,varchar,"Property Zip",auto,,,yes,,account,property_zip,varchar(10),maxLength=10
Account,rate_increase_flag,bool,"Rate Increase Flag",auto,,,yes,,account,rate_increase_flag,tinyint(1),
Account,referral_name,text,"Referral Name",auto,,,yes,,account,referral_name,mediumtext,
Account,referral_source,enum,"Referral Source",auto,,,yes,,account,referral_source,varchar(255),"options=[|Referral|Google|Social Media|Cold Outreach|Walk-in|NowCerts Import|Other]"
Account,referralsGiven,int,"Referrals Given",auto,,,yes,,account,referrals_given,int,default=0
Account,renewalQuoteAmountConverted,currencyConverted,"Renewal Quote Amount Converted",auto,,yes,,,account,"(not stored)",,
Account,renewalQuoteAmountCurrency,enum,"Renewal Quote Amount Currency",auto,,,,,account,renewal_quote_amount_currency,varchar(3),"maxLength=3; view=views/fields/currency-list"
Account,renewal_date,date,"Renewal Date",i18n:fields,,,yes,,account,renewal_date,date,
Account,renewal_decision,enum,"Renewal Decision",auto,,,yes,,account,renewal_decision,varchar(255),"options=[|Renewing|Re-marketed|Lost — Price|Lost — Service|Lost — Carrier|Non-renewed by Carrier]"
Account,renewal_decision_notes,text,"Renewal Decision Notes",auto,,,yes,,account,renewal_decision_notes,mediumtext,
Account,renewal_outreach_stage,enum,"Renewal Outreach Stage",auto,,,yes,,account,renewal_outreach_stage,varchar(255),"options=[|Not Started|Day 60 Sent|Day 30 Sent|Day 14 Sent|Confirmed|Shopped|Lost]"
Account,renewal_quote_amount,currency,"Renewal Quote Amount",auto,,,yes,,account,renewal_quote_amount|renewal_quote_amount_currency,double|varchar(3),
Account,renewal_quote_carrier,text,"Renewal Quote Carrier",auto,,,yes,,account,renewal_quote_carrier,mediumtext,
Account,renewal_quote_date,date,"Renewal Quote Date",auto,,,yes,,account,renewal_quote_date,date,
Account,renewal_quote_received,bool,"Renewal Quote Received",auto,,,yes,,account,renewal_quote_received,tinyint(1),
Account,renewals,linkMultiple,Renewals,auto,,,yes,Renewal,account,"(not stored)",,
Account,retention_risk,enum,"Retention Risk",i18n:fields,,,yes,,account,retention_risk,varchar(255),options=[|Low|Medium|High]
Account,risk_score,int,"Risk Score",i18n:fields,,,yes,,account,risk_score,int,
Account,score_alert_sent,bool,"Score Alert Sent",auto,,,yes,,account,score_alert_sent,tinyint(1),
Account,score_breakdown,text,"Score Breakdown",auto,,yes,yes,,account,score_breakdown,mediumtext,
Account,score_bundle_depth,int,"Score Bundle Depth",auto,,,yes,,account,score_bundle_depth,int,"min=0; max=20"
Account,score_change_amount,int,"Score Change Amount",auto,,,yes,,account,score_change_amount,int,
Account,score_change_direction,enum,"Score Change Direction",auto,,,yes,,account,score_change_direction,varchar(255),options=[|Up|Down|Flat]
Account,score_claims_activity,int,"Score Claims Activity",auto,,,yes,,account,score_claims_activity,int,"min=0; max=20"
Account,score_last_calculated,datetime,"Score Last Calculated",auto,,,yes,,account,score_last_calculated,datetime,
Account,score_last_contact,int,"Score Last Contact",auto,,,yes,,account,score_last_contact,int,"min=0; max=20"
Account,score_payment_history,int,"Score Payment History",auto,,,yes,,account,score_payment_history,int,"min=0; max=20"
Account,score_tier,enum,"Client Tier",i18n:fields,,yes,yes,,account,score_tier,varchar(255),"options=[|Strong|Good|At Risk|Critical]"
Account,score_total,int,"Score Total",auto,,yes,yes,,account,score_total,int,"min=0; max=100"
Account,score_years_retained,int,"Score Years Retained",auto,,,yes,,account,score_years_retained,int,"min=0; max=20"
